DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH,UNRATE,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,DGS10,THREEFFTP10_PCH,DGS5,DGS2,DGS1,DGS1MO
2015-05-01,237.001,100.8408,0.0165,0.10777,0.279536842,-3.45158,5.6,3.629047619,2.624761905,2.1975,-11.55118,1.5385,0.609,0.241,0.013
2015-06-01,237.657,100.5063,0.015,3.53298,0.282711364,-9.53327,5.3,3.849090909,2.827727273,2.363636364,1.52236,1.683636364,0.688636364,0.275454545,0.007727273
2015-07-01,238.034,101.1831,0.032272727,-2.07959,0.290669565,19.09989,5.2,3.904782609,2.822608696,2.324545455,-6.75111,1.632272727,0.667727273,0.296818182,0.03
2015-08-01,238.033,100.9115,0.071904762,-6.80568,0.3207975,-9.30876,5.1,3.997619048,2.778571429,2.167142857,-10.29652,1.541428571,0.697619048,0.375714286,0.035238095
2015-09-01,237.498,100.568,0.024285714,-3.44935,0.331111364,3.96341,5,4.066363636,2.762272727,2.172857143,8.07676,1.49,0.713333333,0.373333333,0.008571429
2015-10-01,237.733,100.1588,0.016666667,-9.45178,0.321359091,4.98534,5,4.036521739,2.635652174,2.07,-18.30755,1.385714286,0.644761905,0.263333333,0.014285714
2015-11-01,238.017,99.4099,0.126315789,-10.20142,0.370971429,-6.79702,5.1,4.163333333,2.782857143,2.263157895,0.65223,1.671052632,0.884736842,0.476842105,0.071052632
2015-12-01,237.761,98.8329,0.228636364,-21.77068,0.533235714,7.19281,5,4.316818182,2.819545455,2.242727273,-20.81382,1.698636364,0.982727273,0.653636364,0.171818182
2016-01-01,237.652,99.4797,0.257368421,-20.35756,0.6195525,1.11836,4.8,4.413333333,2.732380952,2.085263158,-45.65385,1.518421053,0.899473684,0.543157895,0.227368421
2016-02-01,237.336,98.9583,0.3145,7.11563,0.622719048,-18.34101,4.9,4.459047619,2.60047619,1.7795,17.54971,1.222,0.7335,0.534,0.256
2016-03-01,238.08,98.1954,0.297272727,-5.4567,0.632,8.35214,5,4.155,2.555909091,1.889090909,11.31513,1.375909091,0.875,0.656363636,0.253181818
2016-04-01,238.992,98.4673,0.228095238,13.86449,0.63275,23.95833,5.1,3.756818182,2.425909091,1.805238095,-18.46158,1.258095238,0.768095238,0.555714286,0.187619048
2016-05-01,239.557,98.2889,0.276666667,8.85216,0.6447725,-9.32773,4.8,3.686818182,2.512727273,1.806190476,65.12634,1.30047619,0.816190476,0.591428571,0.226190476
2016-06-01,240.222,98.7201,0.272727273,0.92796,0.651620455,11.67748,4.9,3.543636364,2.434545455,1.644090909,21.10836,1.166363636,0.731363636,0.552272727,0.221363636
2016-07-01,240.101,98.8992,0.301,-14.9114,0.696309524,-4.89627,4.8,3.329545455,2.303181818,1.504,-4.01617,1.0715,0.6725,0.5135,0.2635
2016-08-01,240.545,98.7249,0.299565217,-15.77603,0.810223182,-1.39616,4.9,3.276086957,2.339565217,1.556521739,-26.88246,1.133043478,0.737391304,0.56826087,0.260869565
2016-09-01,241.176,98.606,0.294285714,6.08817,0.849680455,8.31858,5,3.298181818,2.480454545,1.63047619,-1.74429,1.178095238,0.770952381,0.593333333,0.191428571
2016-10-01,241.741,98.6703,0.3315,1.62709,0.878682857,-13.56209,4.9,3.347619048,2.555238095,1.7645,-14.86377,1.272,0.843,0.6595,0.244
2016-11-01,242.026,98.2288,0.4525,-8.17828,0.908464091,10.77505,4.7,3.672727273,2.861363636,2.142,24.04154,1.596,0.9795,0.736,0.3
2016-12-01,242.637,98.8958,0.511904762,-12.37041,0.9753285,-2.21843,4.7,3.859090909,3.108636364,2.491904762,-17.08457,1.959047619,1.196666667,0.866190476,0.423333333
2017-01-01,243.62,98.7446,0.519,-14.81581,1.025692857,-3.75218,4.7,3.75,3.033333333,2.4325,-30.84603,1.9165,1.2065,0.8255,0.496
2017-02-01,243.872,98.3676,0.526315789,-4.29293,1.0445965,9.06618,4.6,3.7035,3.0345,2.418947368,-65.22004,1.901578947,1.201052632,0.820526316,0.482105263
2017-03-01,243.766,99.1065,0.747826087,23.84565,1.134713043,-7.39817,4.4,3.764782609,3.134782609,2.48173913,45.10294,2.013478261,1.313043478,1.010434783,0.662608696
2017-04-01,244.274,100.0363,0.808421053,8.52197,1.159030556,3.94973,4.5,3.6395,2.987,2.297368421,-37.29947,1.824210526,1.241052632,1.042105263,0.745789474
2017-05-01,244.069,100.147,0.903181818,14.62577,1.185849524,-2.33161,4.4,3.592173913,2.974782609,2.303636364,-4.9459,1.836818182,1.301818182,1.122727273,0.728181818
2017-06-01,244.218,100.3042,0.999090909,4.38878,1.262409545,6.1008,4.3,3.501363636,2.868181818,2.186818182,-146.22186,1.774090909,1.342272727,1.200909091,0.841363636
2017-07-01,244.28,100.2092,1.0865,-8.42904,1.307512857,3.75,4.3,3.521904762,2.89047619,2.318,272.58204,1.872,1.3725,1.2235,0.972
2017-08-01,245.205,99.7055,1.032173913,0.15677,1.314176818,-7.22892,4.4,3.465652174,2.836086957,2.209130435,-14.54477,1.776521739,1.335217391,1.229130435,0.979565217
2017-09-01,246.551,99.7485,1.0465,1.02862,1.323295714,-7.18615,4.2,3.465454545,2.838636364,2.202,-33.26467,1.7975,1.3845,1.28,0.994
2017-10-01,246.657,100.988,1.093333333,10.1815,1.360793182,23.22761,4.1,3.499090909,2.871818182,2.36,-91.59736,1.980952381,1.54952381,1.397619048,0.995714286
2017-11-01,247.378,101.273,1.25047619,-8.27642,1.434204091,-12.94474,4.2,3.564090909,2.922727273,2.353333333,-4331.38202,2.05,1.696666667,1.56,1.09
2017-12-01,247.736,101.3696,1.3415,13.81954,1.601752105,10.17391,4.1,3.594285714,2.954761905,2.4025,91.92961,2.182,1.844,1.7005,1.204
2018-01-01,248.721,101.3561,1.432380952,1.01982,1.733970909,-4.81452,4,3.677272727,3.079545455,2.583809524,-10.80075,2.381904762,2.031904762,1.802857143,1.3
2018-02-01,249.3,101.6495,1.587894737,1.84762,1.874672,6.30182,4.1,3.9365,3.3125,2.858947368,-1.40683,2.599473684,2.175263158,1.963684211,1.380526316
2018-03-01,249.517,102.298,1.726666667,-7.74266,2.173357619,-7.4883,4,4.088181818,3.402727273,2.842380952,-2.40948,2.62952381,2.275714286,2.062857143,1.636666667
2018-04-01,250.275,103.4095,1.788095238,3.50699,2.349426,-3.03541,4,4.172380952,3.44,2.869047619,-30.51133,2.701904762,2.384285714,2.153809524,1.66047619
2018-05-01,250.786,102.5408,1.899545455,-5.05288,2.335608571,-2.34783,3.8,4.33173913,3.531304348,2.977727273,-6.78328,2.816818182,2.511818182,2.273636364,1.706818182
2018-06-01,251.152,103.3045,1.935238095,-6.80693,2.330264286,10.68566,4,4.386363636,3.512727273,2.912380952,-43.18836,2.775714286,2.533333333,2.328095238,1.805238095
2018-07-01,251.345,103.5474,1.994761905,3.20938,2.339118182,-2.89622,3.8,4.366363636,3.485909091,2.889047619,56.11803,2.777619048,2.606666667,2.387619048,1.893333333
2018-08-01,251.735,104.1659,2.072608696,3.0238,2.323575,-3.6454,3.8,4.322608696,3.456086957,2.889130435,-25.14738,2.767826087,2.635652174,2.445652174,1.940869565
2018-09-01,252.183,104.1315,2.165263158,3.70525,2.349427,0.94583,3.7,4.411428571,3.576190476,3.004210526,-21.33804,2.893684211,2.767894737,2.557894737,2.036842105
2018-10-01,252.899,103.9874,2.293181818,3.53272,2.460626522,6.98467,3.8,4.563478261,3.735652174,3.152272727,40.11596,3.000454545,2.860909091,2.651818182,2.173636364
2018-11-01,252.822,103.9127,2.374,9.81,2.649184091,3.50318,3.8,4.731818182,3.766818182,3.117,-24.94476,2.947,2.859,2.6985,2.2405
2018-12-01,252.493,103.867,2.412105263,2.18927,2.787742105,-7.76923,3.9,4.7335,3.603,2.832631579,-13.51452,2.681578947,2.676315789,2.655263158,2.365789474
2019-01-01,252.441,103.3023,2.423809524,10.05529,2.774177727,9.59133,4,4.601818182,3.469090909,2.713809524,50.06687,2.536190476,2.543333333,2.57952381,2.40047619
2019-02-01,252.969,102.728,2.437894737,-2.30769,2.676678,-1.97869,3.8,4.3655,3.338,2.676315789,77.69369,2.487894737,2.504210526,2.549473684,2.425263158
2019-03-01,254.147,102.8635,2.453809524,0.80347,2.605674762,3.64907,3.8,4.193636364,3.299090909,2.570952381,-10.95608,2.372857143,2.40952381,2.490952381,2.454285714
2019-04-01,255.326,102.2543,2.432857143,5.61135,2.5895395,-4.94382,3.7,4.045714286,3.235238095,2.532380952,-11.20417,2.333333333,2.344761905,2.424761905,2.425714286
2019-05-01,255.371,102.4519,2.403181818,5.63019,2.531680952,5.12214,3.7,3.956521739,3.161304348,2.395,15.73679,2.187727273,2.206363636,2.340454545,2.396363636
2019-06-01,255.423,102.384,2.2195,-3.01515,2.3974965,-10.7946,3.6,3.701428571,2.867619048,2.074,-16.46155,1.825,1.814,1.995,2.222
2019-07-01,255.925,102.0568,2.145,4.58229,2.293654348,0.42017,3.6,3.56,2.783478261,2.059090909,-19.66657,1.828181818,1.835,1.962272727,2.153181818
2019-08-01,256.118,102.6882,1.990454545,-4.11383,2.16479381,7.11297,3.7,3.298695652,2.453913043,1.626363636,-8.54771,1.486818182,1.571363636,1.772272727,2.067727273
2019-09-01,256.532,102.3143,1.9345,3.18836,2.125182381,-2.65625,3.5,3.315714286,2.506190476,1.6995,16.98583,1.565,1.648,1.796,1.986
2019-10-01,257.387,101.4645,1.678636364,0.74042,1.977421304,-3.13002,3.6,3.27,2.48,1.706818182,31.90887,1.525,1.551363636,1.608181818,1.725454545
2019-11-01,257.989,101.9876,1.572105263,-19.49117,1.904811905,-0.24855,3.6,3.274761905,2.536666667,1.812105263,-8.31933,1.639473684,1.612631579,1.567894737,1.583684211
2019-12-01,258.203,101.6179,1.565238095,-13.0618,1.9075775,-7.22591,3.6,3.216190476,2.535238095,1.862857143,-60.51286,1.682380952,1.613333333,1.549047619,1.551428571
2020-01-01,258.687,101.0918,1.552380952,3.75606,1.81973,13.87645,3.5,3.069090909,2.448181818,1.757619048,-40.85395,1.562380952,1.519047619,1.532857143,1.533333333
2020-02-01,258.824,101.3247,1.544736842,6.94823,1.678934,-10.61321,3.5,2.9,2.241428571,1.504210526,-15.19112,1.323684211,1.331052632,1.405789474,1.576315789
2020-03-01,257.989,97.4477,0.295454545,5.82348,1.102355455,5.80475,4.4,4.055454545,2.339545455,0.87,-74.81202,0.591818182,0.448181818,0.331818182,0.370454545
2020-04-01,256.192,84.2018,0.138095238,9.81943,1.0918845,5.32003,14.8,3.95952381,1.913809524,0.657619048,0.43103,0.388095238,0.224761905,0.184285714,0.11
2020-05-01,255.942,85.8434,0.1275,-4.74475,0.404173158,0.07893,13.3,3.318181818,1.804545455,0.674,-348.19146,0.3395,0.1705,0.1615,0.0985
2020-06-01,257.282,91.1622,0.159545455,-10.14302,0.310259091,-2.60252,11.1,2.78,1.581363636,0.728636364,318.23284,0.344545455,0.185,0.176363636,0.13
2020-07-01,258.604,94.8887,0.126818182,4.92133,0.267757391,-1.86235,10.2,2.483043478,1.495217391,0.623636364,10.0878,0.278636364,0.148181818,0.145454545,0.105909091
2020-08-01,259.511,95.8924,0.104285714,-4.42895,0.253108,13.61386,8.4,2.357619048,1.513809524,0.65,141.50024,0.266666667,0.13952381,0.13047619,0.082380952
2020-09-01,260.149,95.6019,0.108571429,3.9044,0.236888636,-7.48003,7.8,2.373181818,1.583636364,0.67952381,-4.3997,0.26952381,0.134761905,0.127619048,0.08952381
2020-10-01,260.462,96.6454,0.10047619,-5.25022,0.221291818,5.18053,6.9,2.404347826,1.638695652,0.787142857,-9.60242,0.335714286,0.14952381,0.126666667,0.086666667
2020-11-01,260.927,97.1609,0.091052632,5.6894,0.220002381,2.31343,6.7,2.274761905,1.625238095,0.87,-22.72551,0.387894737,0.165789474,0.117368421,0.086842105
2020-12-01,261.56,98.2854,0.087272727,4.99737,0.233020476,15.75492,6.7,2.117727273,1.593636364,0.933636364,-13.32111,0.385909091,0.135909091,0.100454545,0.076363636
2021-01-01,262.231,99.3244,0.083684211,-3.94122,0.222927,1.89036,6.3,2.128571429,1.677142857,1.081052632,16.97669,0.445263158,0.131052632,0.100526316,0.076315789
2021-02-01,263.161,96.4433,0.042631579,-12.13491,0.190365,-3.09215,6.2,2.209047619,1.78047619,1.257894737,51.63117,0.542631579,0.115263158,0.072631579,0.035789474
2021-03-01,264.793,98.9318,0.031304348,-42.20419,0.189621739,-19.01723,6,2.491304348,2.086086957,1.610869565,30.98876,0.823043478,0.146956522,0.075652174,0.024347826
2021-04-01,266.832,99.0174,0.020909091,-43.34132,0.184777,-26.39874,6.1,2.437142857,2.013809524,1.635,14.85697,0.861818182,0.163181818,0.060909091,0.016363636
2021-05-01,268.551,99.8562,0.018,72.56798,0.152193684,4.28266,5.8,2.402857143,2.015238095,1.621,-0.91991,0.8195,0.155,0.0505,0.0075
2021-06-01,270.981,99.9853,0.035909091,33.96359,0.132756818,-1.19048,5.9,2.321818182,1.929090909,1.519090909,-4.43859,0.838636364,0.202727273,0.066818182,0.027272727
,,,,,,,,,,,,,,,
